User,Rating,Date,ReviewText
krishna rai,Rated 5 stars out of five stars,29-Jun-20,"As I knew this platform from very earlier, yes very easy to use this app, need to update time to time, and my suggestion is to add one more feature to pay bill/insurance for LIC OF INDIA, it's huge in demand so people don't have to switch on other app for this purpose only, pls do it ASAP, thank you"
Sb,Rated 1 stars out of five stars,28-Jun-20,"Worst app, I recharged for 365/- and it is more than 48 hours and it is not recharged but amount has been deducted. Customer care is showing that recharge is successful and they suggesting to contact service provider. If that was the case then why I need ur app for recharge. Guys don't install."
JD SPECIAL,Rated 5 stars out of five stars,26-Jun-20,Awesome app ( 6N73RE ) At first I thought it was going to be like Subway Surfers but then I went through the portal and it changed the music and I was jamming why I was playing princess Surfers this is the greatest game I think it's even better than Subway Surfers but I don't know what is a 5-star rating for me. There are so many ways to go. The thing I like the most is the skateboards. The lady characters wear such a flashy and wonderful costume. I just love this game
Bijoy Roychowdhury,Rated 1 stars out of five stars,21-Jun-20,"Cashback and promotions often don't work , despite following instructions and reading T&C. Support section will not give you a explanation or solution. UPI payment UI is bad, transactions often fail despite good internet. Update:number of useful vendors where you can use ""Supercash"" had reduced. Don't bother even trying to earn the Supercash. They won't let you use it."
Jitesh Ff,Rated 5 stars out of five stars,25-Jun-20,"This App is amazing! ( 6 N 7 3 R E ) It is a great game for you and your kid/kids to have lots of fun spending time together. If you have never played a game like this before you might be a bit confused. You have to swap candy's and get three in a row or more! This game can be addicting but in a good way. It is also a relaxing game to play on long journeys! They have sure improved this game. I loved it in its original form, then it got changed and, I thought, more a game for small kids."
kn singh,Rated 1 stars out of five stars,11-Jun-20,"This app is quite complecated . What is super cash and points , I could not understands. Why don't you make the thing , simple ? Simplify the interface of this app . It is quite troublesome and I don't like it . Please , delink my s/b accounts with this app . I am unable to do it."
rahul mandal,Rated 1 stars out of five stars,25-Jun-20,Very bad app my wallet balance have did not get back to my account and the reason is interesting if you are sending money from wallet then carefully check the number because if the number does not have account then also money has sending through wallet. If the number not resiter on this app then also why money send success to any unknown number
Md Rashid,Rated 5 stars out of five stars,24-Jun-20,"What a nice app for everyone to earn a lot of wallet money as well as redeem it easily at any platform if he or she, understand to use this application.Using this application for earning money, is little bit complex but it gives much earnings once it's understood by anybody.Its customer care services is very supportive for its customers.Claiming any issue in this app is very easy process and it is solved within the time as per its terms & conditions."
CrazyButNotEazy,Rated 1 stars out of five stars,06-Jun-20,This app sucks.. because I have tried to recharge my number of 599 and recharge failed. ..it was showing..failed but money added to wallet.but once I checked there was no money ..try to get help through transaction..but there is no history of failed transaction..I have tried to call.the available number no response..I have tried to recaharge through flip kart and it's redirected me to your website now I didn't got my recharge or..refund..in history it showing success but recharge is failed.
Ajith,Rated 5 stars out of five stars,06-Jun-20,Using this App again after long time....This app is really awesome now... interface and lot of changes has been done..espically the UPI request which shows in main screen and the invoice for the payment is really good and helpful...where in other Apps I should search..one thing I don't like is supercash.....but I would 100% recommend this app to my friends. If invoices was Available in PDF format that would have been a great update..
Kunal Mallick,Rated 2 stars out of five stars,25-Jun-20,"Its very to pity to say but this app sucks , literally !! The app crashes multiple times and takes even 15 or 30 to just to open . The UPI payments stucks and even fails multiple times . Devs !! Do something man or else you guys just gonna out of the race !"
Pooja Ji,Rated 5 stars out of five stars,25-Jun-20,Really amazing app ( 6 N 7 3 R E ) This is the best game I ever played . This is best shooting game but some times it shows signal did not responding but I love this game so much the best part of this game is that when we play the game for long time in a day it shows a notification for take some rest which is very good for our eyes I think this is world game I give this game 5 star ratting The best game ever I play.I have play since 2 years ago and we can get free bc using videos.
Shubham Singh,Rated 1 stars out of five stars,07-Jun-20,"I am really disappointed with this app it does not have any customer care option in this app. And why I can't deregister or remove my link bank account, And your app always shows (it seems your bank is experiencing problems pls try after some time) my bank is working properly it seems your app is experiencing problems. At the time of linking to my bank account it took 1 sec but now to remove it looks like it would take a year, many customers report same issue butl you have proved not to change"
Mukul Chhabra,Rated 1 stars out of five stars,05-Jun-20,"One of the most worst app i ever used Mobikwik do not allow to Deregister UPI id and also i want to remove my linked bank account but everytime it says ""It seems your bank is experiencing problem. Please try Later"". What is this MobiKwik? Every other UPI supported app runs smoothly but only Mobikwik has issues. Please solve the problem as quockly as possible."
