User,Rating,Date,ReviewText
Inamul Hussain,Rated 5 stars out of five stars,27-Jun-20,"Well done 👍 finally paytm improve their application. That's great 😊 Impressive 👌. The new version comes with very handy and simple interface. Easy to use it. I like it. So I giving 5 🌟 rating for such a wonderful application. This application Smoothly running on my device. Actually I'm active paytm user since 2017. No doubt, I clearly justify that ,Paytm is batter than the other competitors."
Shashank Reddy Kallem,Rated 1 stars out of five stars,24-Jun-20,You guys keep on Changing the UI for every update. Stick with one UI. Paytm is the service which is used by everyone. Even some people who don't know how to read can understand how to use the app because the UI is very simple. But now with the new update everything is changed. Stick to one UI. Even though you change the UI just make sure that it is similar to the previous version.Note: The bottom navigation bar is the best thing in any application. Please bring back the navigation bar.
Bhargav Mane,Rated 4 stars out of five stars,28-Jun-20,Nice app. Last few months it's pushing notifications related to cashback offers on daily basis. The app doesn't allow for a granular control over which type of notifications are to be displayed through android 10's system settings. So the notifications can either be turned off entirely or leave it on with its daily notification.
TheSmallBoi Sam,Rated 2 stars out of five stars,09-Jun-20,"It was really difficult to rate it 2 stars because it is such a great app but the new update has pretty much destroyed it. You should understand that the UI appearance is secondary. More than good looking, an important app like this should be easy and comprehensive to use, like the previous version. With this new layout, I can't even find out the option to check my account balance. Please fix it and I'll rate it 5 stars, like it actually deserves."
Saitej S,Rated 4 stars out of five stars,13-Jun-20,"I liked the versatility of paytm. We can do basic things like recharges, bill payments etc that a UPI app should do. Besides, it can also be used to book flight tickets, bus, train, movie and what not. But I feel that paytm is still lacking the some features like individual payment room(like Phonepe and google pay where all payments to That particular contact are displayed in a chat like window). If Paytm introduces that feature, and betters the interface it would be a ""No Brainer""."
Ranjeet Srivastava,Rated 1 stars out of five stars,09-Jun-20,"A third grade app. Very challenging to use. Most of the time it doesn't work. Specialy while you have to pay to the marchant it stops responding... And you endup struggling to the access to the app. If you get the credit, and you try to transfer your money to bank, or charges a huge commission. For me it was charging 150 to transfer my money INR 2500 to my HDFC account linked to it. It is not a trust worthy app at all. 5 out of 10 times i endup by paying cash to my vendors as app malfunctions."
A Mohammed Arif,Rated 2 stars out of five stars,27-Jun-20,"I have very bad experience with paytm. When I tried to reset my upi pin I was unable to do it. Each time I tried to change it, it says to try after sometime. I tried several times and failed everytime. Each time I entered my last six digit of my card and expiry date and after getting the otp I enter it. After entering the new upi pin two times I click proceed an error message pops up and says to try after sometime. I'm fed up of this problem and unable to transfer money. Kindly resolve it asap."
aps chandi,Rated 1 stars out of five stars,26-Jun-20,"I am downgrading this app to one star. As for as giving away your money to others is a breeze but if you want to find a receipt, it is next to impossible. Once I found the receipt tucked in a unfathomable depth, I was able to see it but was impossible to share it or to take a screenshot. Even I could not download it. You suck. I am not wasting my time to give you some blah blah information, if you do not understand the issue, than it is your problem. I will look for better alternatives."
varun arora,Rated 2 stars out of five stars,15-Jun-20,"Good multipurpose app with pathetic customer care. This app is super handy and can be used for multiple purposes. The features and options are limitless until you get a error or issue somewhere, Then the horror starts and you find the dark side of this app. The so called 24*7 customer care. They prefer only tickets over calls and they do not care about your issue. On an average they will take 2-3 months. That too if you are lucky. Took me 3 months, Around 15 pings on their ticket and finally"
Nishant Sharma,Rated 1 stars out of five stars,25-Jun-20,"I don't know why they keep changing their UI , I don't like it . I was using this app for over 2 years and now they don't allow to add balance through debit card , as a student I don't have a bank account, so I use Paytm account for upi payments. But now they want extra money for that . *uck yourself with app , their are lot of other alternative apps in options."
Sourabh Singh,Rated 2 stars out of five stars,20-Jun-20,"Editing my earlier comment. Paytm forces you to add money using non-UPI modes. It actually allows adding money using UPI only once after login. In subsequent attempts, the UPI option is deliberately hidden, forcing you to use other modes. Same happens for website. Reducing the rating from 3 to 2 as there is no improvement from the past. India is moving forward to UPI but Paytm is forcing India to go backward. Ticket creation option does not help."
Mohd Sohail Ahmed,Rated 1 stars out of five stars,19-Jun-20,"Just made the mistake in the latest update by moving the ""Bank"" to a different placement. It seems less accessible now. Also, cannot use any other debit cards except RuPay cards to add money to bank. Really annoying. At this moment, the app honestly fits the criteria of being useless. Since I can basically use my bank with other UPI apps."
Rajesh Aggarwal,Rated 1 stars out of five stars,19-Jun-20,"What the hell are developers of this app trying to achieve? They are changing the interface of this app every 10-15 days. Due to this different payment options go here and there and I have to find them. It sucks my precious time. Moreover, this frequent interface changes have made this app very bulky and it lags a lot when in use. Now in today's update they have moved the PayTM Bank option somewhere else. It used to be at the bottom, second from the right. Now, I don't know where the heck it is."
Thé Ken,Rated 1 stars out of five stars,15-Jun-20,"Paytm automatically logged out from my phone... And as its been a long time I couldn't remember it's password so I applied for password reset but it doesn't accept any of my password...even if It satisfies all it's policies (e.i. atleast 5 characters, special character, alphabet, numerical) ... Why don't I have freedom to set my own password?"
AMITAVA SINHA,Rated 5 stars out of five stars,06-Jun-20,"I'm using paytm wallet from January 2014, I saw a lot of updates to add more features. Now a days paytm is essential to daily life. From paytm wallet to paytm payments bank was a next level thinking. Today we can say that it's a massive part of DEGETAL INDIA. Today every Indians are using paytm app because it all in all with respect to others."
Zeeshan Anwar,Rated 1 stars out of five stars,23-Jun-20,Wow! After updating today the paytm wallet and paytm bank option has gone. What an update!! Also your customer care executives are unable to understand my simple problem. I am saying them that I am unable to transfer amount to some UPI id and it failed the transaction multiple times while earlier there was no such problem. Why so? This is my question. And your customer service officer is repeatedly saying that my amount is not deducted from my account.. Totally disgusting!!
Nikhil Panwar,Rated 1 stars out of five stars,06-Jun-20,"Paytm used to be simple. Now there are too many features. This app has became so big that it's a total confusing mess. Can we just have a Paytm Wallet Lite version without all this paytm bank , Mall , Games nonsense. So many useless features. The app has just became a trashbag. Always lagging and slowing because of these million useless features."
Saurabh Jagtap,Rated 1 stars out of five stars,09-Jun-20,"Worst updating. Why does it downloads the update for so many times? Why doesn't it update the whole update in one go? It downloads somewhere around 1-2 MBs of package, and then again resumes downloading as if it's starting from new. Looks like it downloads multiple modules for a single app to update. It took almost 20 minutes to update an app of 30 MB in size, just because it was downloading like in multiple smaller packages."
Meenakshi Kishan,Rated 1 stars out of five stars,06-Jun-20,I've always had great experience regarding payments and cashbacks. But recently this one thing that has made me rate it 1 star is that whenever i try to login again i never receive otp for hours. I have to try it a thousand times again and again to login. Also when i receive money now i don't get notifications through messages. I hope you guys will resolve my problem.
Amogh S,Rated 3 stars out of five stars,03-Jun-20,"It's still the same old app which is fine but the new interface sucks ass. It's gotten slightly slower and pages take a bit of time to load even with the best of internet speeds which is not a deal breaker but definitely noticable sometimes. Also, I still don't see better cashbacks offers like in PhonePe and GPay. Would like to see more offers to use this 'stead of them Seriously tho, the new interface sucks big time."
sunit trivedi,Rated 3 stars out of five stars,24-Jun-20,"Does well in doing transactions. Needs to reverse failed transaction automatically. First I wait for few days for reversal of failed transaction and after few days missed to report. Transaction of Rs 784/- to BSNL on 26/12/2019 twice.One was succesful and one was failed. But my money is blocked. Also security must be improved and investigation for stopping cyber crime hackers , who use name of PAYTM. I hope that they were getting data from old paytm workers."
Daniel Chongthu,Rated 1 stars out of five stars,11-Jun-20,"Well the app was good and stood out from rest of the payment apps avaliable out there. Sadly you removed the functionality that enables user to transfer money from debit card (mastercard/visa) to paytm savings account which was the most significant functionality of your app and this functionality was the sole reason that made your app better and unique from other competitors. But sadly you removed it reducing your worth to ""JUST ANOTHER TYPICAL PAYMENT APP"". Please bring back that functionality."
Aditya Bagrecha,Rated 2 stars out of five stars,13-Jun-20,Using this amazing app from quite long but from past few days facing so much problem from Paytm wallet.. I'm not able to spend money from my Paytm wallet (no PAYTM WALLET option available) it always direct to my bank account being amount available in wallet. And I'm using updated version of it. I hope developers will take action for it it's a major issue as person can't use his own money!
Jeevesh Kishore Sharma,Rated 2 stars out of five stars,08-Jun-20,"Having loging in issue ,Each and every time I start the app it asks to create new password for Paytm app ,even If I already entered one .If again I tried to enter new password it shows incorrect password at the reenter password window .That's annoying . Each and every app startup I have login it again using otp login .That's a bit unconvenient .you are requested to patch this problem ASAP . Fix this bug I will increase my rating till then only Two stars . Thank you."
Sahil Garg,Rated 4 stars out of five stars,10-Jun-20,"The app is good. Really provides lots of options. Upi payment, payment bank, shopping, bill payment options, tickets. Everything is great. Thought I think it needs to improve from shopping point of view and customer care services need to be improved. The don't pick up calls at all."
Saurabh Rawat,Rated 4 stars out of five stars,27-Jun-20,what is this man... I've always been using this app it works very sincerely BT since yesterday I've been trying to book tickets multiple times in multiple cinemas...its not working its only showing please wait and then nothing is proceeding... I'm very much irritated ... previously also i booked tickets BT that time it worked properly... I'm totally unsatisfied right now...😠😠
maanav dais,Rated 1 stars out of five stars,19-Jun-20,"Im not able to reset my paytm password. The moment i press the update option it takes me to a page saying ""the link has been disabled now. Please request for a new link"" I opened the link the very next moment when it was recorded but its not operating. It takes me on 2 pages to write the new password confirm new password. I mean i have to write it twice on separate pages new and confirm new password and after pressing update on 2nd page it takes me to 3rd page saying ""link is disabled now...."""
Srinibas Das,Rated 2 stars out of five stars,06-Jun-20,Everytime i tried to use paytm for my transactions i observed its really time consuming and uncertain. It really works very badly in slow internet. Please make the financial activities separate so that it becomes clutter free and fast. Otherwise so many good options are there. Hope i can make it my only option for banking in near future..
Nitin Malhotra,Rated 2 stars out of five stars,28-Jun-20,"Good but not secured - when you click on PAY, the SCAN QR CODE PAGE / CONTACTS PAGE appears just for a second and than the FINGERPRINT / PASSWORD PAGE appears. Within this 1 second, if you click on contacts or recent contacts, then YOU CAN PAY WITHOUT FINGERPRINT / PASSWORD. Did it 2-3 times for confirmation."
Niraj Yadav,Rated 1 stars out of five stars,21-Jun-20,"They're are simply fooling around with the app with every update. Stupid layout changes every time which are irritating more than anything else. And if that wasn't enough, their frequent bill payment reminders are just too much. Have stopped using Paytm altogether! There're much better alternatives out there in Phonepe and Gpay."
Atul Aryan,Rated 1 stars out of five stars,21-Jun-20,One recommendation - Plzzz never never play spin the wheel game by giving them money because they always gives you less money than what you have paid for playing .Using this app since more than 5 yrs. No change in speed in 5 yrs. Same slowness & takes too much time to open and that sucks a lot .worst app ever.😣😣😣
